ts,traffic,destination,median,percentile99,maximum
2017-10-06T17:00:00Z,external,/bigdata/ldf,14,144,145
2017-10-06T17:00:00Z,external,/sparql,8,38,101
2017-10-06T17:00:00Z,internal,/sparql,17,42,49
2017-10-06T18:00:00Z,external,/bigdata/ldf,13,141,143
2017-10-06T18:00:00Z,external,/sparql,10,41,72
2017-10-06T18:00:00Z,internal,/sparql,15,42,50
2017-10-06T19:00:00Z,external,/bigdata/ldf,11,140,141
2017-10-06T19:00:00Z,external,/sparql,12,46,79
2017-10-06T19:00:00Z,internal,/sparql,15,41,51
2017-10-06T20:00:00Z,external,/bigdata/ldf,22,135,140
2017-10-06T20:00:00Z,external,/sparql,8,42,66
2017-10-06T20:00:00Z,internal,/sparql,15,41,50
2017-10-06T21:00:00Z,external,/bigdata/ldf,19,139,141
2017-10-06T21:00:00Z,external,/sparql,9,77,120
2017-10-06T21:00:00Z,internal,/sparql,16,40,49
2017-10-06T22:00:00Z,external,/bigdata/ldf,14,144,145
2017-10-06T22:00:00Z,external,/sparql,8,60,121
2017-10-06T22:00:00Z,internal,/sparql,16,45,55
2017-10-06T23:00:00Z,external,/bigdata/ldf,15,140,143
2017-10-06T23:00:00Z,external,/sparql,9,42,78
2017-10-06T23:00:00Z,internal,/sparql,17,43,50
2017-10-07T00:00:00Z,external,/bigdata/ldf,13,135,137
2017-10-07T00:00:00Z,external,/sparql,5,24,44
2017-10-07T00:00:00Z,internal,/sparql,19,46,59
2017-10-07T01:00:00Z,external,/bigdata/ldf,14,146,148
2017-10-07T01:00:00Z,external,/sparql,6,29,103
2017-10-07T01:00:00Z,internal,/sparql,22,54,67
2017-10-07T02:00:00Z,external,/bigdata/ldf,18,144,145
2017-10-07T02:00:00Z,external,/sparql,7,28,59
2017-10-07T02:00:00Z,internal,/sparql,18,51,67
2017-10-07T03:00:00Z,external,/sparql,6,23,52
2017-10-07T03:00:00Z,internal,/bigdata/ldf,7,145,146
2017-10-07T03:00:00Z,internal,/sparql,20,52,63
2017-10-07T04:00:00Z,external,/bigdata/ldf,17,137,140
2017-10-07T04:00:00Z,external,/sparql,6,24,70
2017-10-07T04:00:00Z,internal,/sparql,27,65,77
2017-10-07T05:00:00Z,external,/bigdata/ldf,11,149,151
2017-10-07T05:00:00Z,external,/sparql,5,23,45
2017-10-07T05:00:00Z,internal,/sparql,18,54,69
